vrpNumber, segmentId, routeId, sequenceId, startStopId, endStopId, startDateTime, endDateTime, distance, operatingTime, carryShipments, startDateTimeLocal, endDateTimeLocal, bool_01, debugRouteId, additiveCost
,"26","000014","2","39","40",04/09/2016 00:00,04/09/2016 07:12,396.46,432.50,,04/09/2016 00:00,04/09/2016 07:12,"N","15188",0.00
,"27","000015","1","41","42",01/24/2016 17:56,01/25/2016 00:00,333.45,363.77,,01/24/2016 17:56,01/25/2016 00:00,"N","15189",0.00
,"28","000016","1","43","44",02/26/2016 00:00,02/26/2016 03:26,189.70,206.94,,02/26/2016 00:00,02/26/2016 03:26,"N","15190",0.00
,"29","000016","2","44","45",02/26/2016 03:26,02/26/2016 10:39,396.46,432.50,,02/26/2016 03:26,02/26/2016 10:39,"N","15190",0.00
,"30","000016","3","45","46",02/26/2016 10:39,02/26/2016 17:30,376.39,410.61,,02/26/2016 10:39,02/26/2016 17:30,"N","15190",0.00
,"31","000017","1","47","48",04/26/2016 20:33,04/27/2016 00:00,189.70,206.94,,04/26/2016 20:33,04/27/2016 00:00,"N","15191",0.00
,"32","000017","2","48","49",04/27/2016 00:00,04/27/2016 07:12,396.46,432.50,,04/27/2016 00:00,04/27/2016 07:12,"N","15191",0.00
,"33","000017","3","49","50",04/27/2016 07:12,04/27/2016 14:03,376.39,410.61,,04/27/2016 07:12,04/27/2016 14:03,"N","15191",0.00
,"34","000018","1","51","52",04/20/2016 18:16,04/21/2016 00:00,314.82,343.44,,04/20/2016 18:16,04/21/2016 00:00,"N","15192",0.00
,"35","000018","2","52","53",04/21/2016 00:00,04/21/2016 06:50,376.39,410.61,,04/21/2016 00:00,04/21/2016 06:50,"N","15192",0.00
,"36","000019","1","54","55",04/02/2016 20:33,04/03/2016 00:00,189.70,206.94,,04/02/2016 20:33,04/03/2016 00:00,"N","15193",0.00
,"37","000020","1","56","57",05/05/2016 18:16,05/06/2016 00:00,314.82,343.44,,05/05/2016 18:16,05/06/2016 00:00,"N","15194",0.00
,"38","000021","1","58","59",12/12/2016 18:16,12/13/2016 00:00,314.82,343.44,,12/12/2016 18:16,12/13/2016 00:00,"N","15195",0.00
,"39","000022","1","60","61",01/11/2016 17:56,01/12/2016 00:00,333.45,363.77,,01/11/2016 17:56,01/12/2016 00:00,"N","15196",0.00
,"40","000023","1","62","63",05/23/2016 18:16,05/24/2016 00:00,314.82,343.44,,05/23/2016 18:16,05/24/2016 00:00,"N","15197",0.00
,"41","000024","1","64","65",04/14/2016 18:16,04/15/2016 00:00,314.82,343.44,,04/14/2016 18:16,04/15/2016 00:00,"N","15198",0.00
,"42","000024","2","65","66",04/15/2016 00:00,04/15/2016 06:50,376.39,410.61,,04/15/2016 00:00,04/15/2016 06:50,"N","15198",0.00
,"43","000025","1","67","68",03/16/2016 13:20,03/16/2016 16:47,189.70,206.94,,03/16/2016 13:20,03/16/2016 16:47,"N","15199",0.00
,"44","000025","2","68","69",03/16/2016 16:47,03/17/2016 00:00,396.46,432.50,,03/16/2016 16:47,03/17/2016 00:00,"N","15199",0.00
,"45","000026","1","70","71",04/26/2016 09:00,04/26/2016 14:27,300.51,327.83,,04/26/2016 09:00,04/26/2016 14:27,"N","79045",0.00
,"46","000026","2","71","72",04/26/2016 14:27,04/27/2016 00:00,524.49,572.17,,04/26/2016 14:27,04/27/2016 00:00,"N","79045",0.00
,"47","000026","3","72","73",04/27/2016 00:00,04/27/2016 04:32,250.03,272.76,,04/27/2016 00:00,04/27/2016 04:32,"N","79045",0.00
,"48","000027","1","74","75",03/02/2016 19:03,03/03/2016 00:00,271.38,296.05,,03/02/2016 19:03,03/03/2016 00:00,"N","79046",0.00
,"49","000028","1","76","77",04/20/2016 19:45,04/21/2016 00:00,233.33,254.54,,04/20/2016 19:45,04/21/2016 00:00,"N","79047",0.00
,"50","000028","2","77","78",04/21/2016 00:00,04/21/2016 09:32,524.49,572.17,,04/21/2016 00:00,04/21/2016 09:32,"N","79047",0.00
,"51","000029","1","79","80",03/20/2016 19:03,03/21/2016 00:00,271.38,296.05,,03/20/2016 19:03,03/21/2016 00:00,"N","79048",0.00
,"52","000030","1","81","82",01/22/2016 05:21,01/22/2016 09:35,233.33,254.54,,01/22/2016 05:21,01/22/2016 09:35,"N","79049",0.00
,"53","000030","2","82","83",01/22/2016 09:35,01/22/2016 14:08,250.03,272.76,,01/22/2016 09:35,01/22/2016 14:08,"N","79049",0.00
,"54","000030","3","83","84",01/22/2016 14:08,01/23/2016 00:00,542.07,591.35,,01/22/2016 14:08,01/23/2016 00:00,"N","79049",0.00
,"55","000031","1","85","86",02/08/2016 15:12,02/08/2016 19:27,233.33,254.54,,02/08/2016 15:12,02/08/2016 19:27,"N","79050",0.00
,"56","000031","2","86","87",02/08/2016 19:27,02/09/2016 00:00,250.03,272.76,,02/08/2016 19:27,02/09/2016 00:00,"N","79050",0.00
,"57","000032","1","88","89",04/03/2016 00:00,04/03/2016 04:14,233.33,254.54,,04/03/2016 00:00,04/03/2016 04:14,"N","79051",0.00
,"58","000032","2","89","90",04/03/2016 04:14,04/03/2016 08:47,250.03,272.76,,04/03/2016 04:14,04/03/2016 08:47,"N","79051",0.00
,"59","000032","3","90","91",04/05/2016 00:00,04/05/2016 09:51,542.07,591.35,,04/05/2016 00:00,04/05/2016 09:51,"N","79051",0.00
,"60","000033","1","92","93",09/14/2016 19:03,09/15/2016 00:00,271.38,296.05,,09/14/2016 19:03,09/15/2016 00:00,"N","79052",0.00
,"61","000034","1","94","95",04/14/2016 04:27,04/14/2016 09:55,300.51,327.83,,04/14/2016 04:27,04/14/2016 09:55,"N","79053",0.00
,"62","000034","2","95","96",04/14/2016 09:55,04/14/2016 19:27,524.49,572.17,,04/14/2016 09:55,04/14/2016 19:27,"N","79053",0.00
,"63","000034","3","96","97",04/14/2016 19:27,04/15/2016 00:00,250.03,272.76,,04/14/2016 19:27,04/15/2016 00:00,"N","79053",0.00
,"64","000035","1","98","99",01/15/2016 05:21,01/15/2016 09:35,233.33,254.54,,01/15/2016 05:21,01/15/2016 09:35,"N","79054",0.00
,"65","000035","2","99","100",01/15/2016 09:35,01/15/2016 14:08,250.03,272.76,,01/15/2016 09:35,01/15/2016 14:08,"N","79054",0.00
,"66","000035","3","100","101",01/15/2016 14:08,01/16/2016 00:00,542.07,591.35,,01/15/2016 14:08,01/16/2016 00:00,"N","79054",0.00
,"67","000036","1","102","103",09/04/2016 19:45,09/05/2016 00:00,233.33,254.54,,09/04/2016 19:45,09/05/2016 00:00,"N","79055",0.00
,"68","000036","2","103","104",09/05/2016 00:00,09/05/2016 04:32,250.03,272.76,,09/05/2016 00:00,09/05/2016 04:32,"N","79055",0.00
,"69","000037","1","105","106",03/15/2016 18:32,03/16/2016 00:00,300.51,327.83,,03/15/2016 18:32,03/16/2016 00:00,"N","79056",0.00
,"70","000038","1","107","108",01/03/2016 19:45,01/04/2016 00:00,233.33,254.54,,01/03/2016 19:45,01/04/2016 00:00,"N","79057",0.00
,"71","000038","2","108","109",01/04/2016 00:00,01/04/2016 04:32,250.03,272.76,,01/04/2016 00:00,01/04/2016 04:32,"N","79057",0.00
,"72","000038","3","109","110",01/04/2016 04:32,01/04/2016 14:24,542.07,591.35,,01/04/2016 04:32,01/04/2016 14:24,"N","79057",0.00
,"73","000039","1","111","112",02/25/2016 19:45,02/26/2016 00:00,233.33,254.54,,02/25/2016 19:45,02/26/2016 00:00,"N","79058",0.00
,"74","000039","2","112","113",02/26/2016 00:00,02/26/2016 04:32,250.03,272.76,,02/26/2016 00:00,02/26/2016 04:32,"N","79058",0.00
,"75","000039","3","113","114",02/26/2016 04:32,02/26/2016 14:24,542.07,591.35,,02/26/2016 04:32,02/26/2016 14:24,"N","79058",0.00
,"76","000040","1","115","116",04/08/2016 10:13,04/08/2016 14:27,233.33,254.54,,04/08/2016 10:13,04/08/2016 14:27,"N","79059",0.00
,"77","000040","2","116","117",04/08/2016 14:27,04/09/2016 00:00,524.49,572.17,,04/08/2016 14:27,04/09/2016 00:00,"N","79059",0.00
,"78","000041","1","118","119",01/08/2016 19:45,01/09/2016 00:00,233.33,254.54,,01/08/2016 19:45,01/09/2016 00:00,"N","79060",0.00
,"79","000041","2","119","120",01/09/2016 00:00,01/09/2016 04:32,250.03,272.76,,01/09/2016 00:00,01/09/2016 04:32,"N","79060",0.00
,"80","000041","3","120","121",01/09/2016 04:32,01/09/2016 14:24,542.07,591.35,,01/09/2016 04:32,01/09/2016 14:24,"N","79060",0.00
,"81","000042","1","122","123",02/15/2016 09:54,02/15/2016 14:08,233.33,254.54,,02/15/2016 09:54,02/15/2016 14:08,"N","79061",0.00
,"82","000042","2","123","124",02/15/2016 14:08,02/15/2016 18:41,250.03,272.76,,02/15/2016 14:08,02/15/2016 18:41,"N","79061",0.00
,"83","000042","3","124","125",02/15/2016 18:41,02/16/2016 04:32,542.07,591.35,,02/15/2016 18:41,02/16/2016 04:32,"N","79061",0.00
,"84","000043","1","126","127",02/19/2016 15:12,02/19/2016 19:27,233.33,254.54,,02/19/2016 15:12,02/19/2016 19:27,"N","79062",0.00
,"85","000043","2","127","128",02/19/2016 19:27,02/20/2016 00:00,250.03,272.76,,02/19/2016 19:27,02/20/2016 00:00,"N","79062",0.00
,"86","000044","1","129","130",02/04/2016 21:57,02/05/2016 05:56,439.10,479.02,,02/04/2016 21:57,02/05/2016 05:56,"N","126418",0.00
,"87","000044","2","130","131",02/05/2016 05:56,02/06/2016 00:00,992.82,1083.08,,02/05/2016 05:56,02/06/2016 00:00,"N","126418",0.00
,"88","000045","1","132","133",04/15/2016 00:00,04/15/2016 10:48,594.07,648.08,,04/15/2016 00:00,04/15/2016 10:48,"N","126419",0.00
,"89","000045","2","133","134",04/15/2016 10:48,04/16/2016 04:51,992.82,1083.08,,04/15/2016 10:48,04/16/2016 04:51,"N","126419",0.00
,"90","000046","1","135","136",01/08/2016 13:11,01/09/2016 00:00,594.07,648.08,,01/08/2016 13:11,01/09/2016 00:00,"N","126420",0.00
,"91","000047","1","137","138",01/03/2016 16:00,01/04/2016 00:00,439.10,479.02,,01/03/2016 16:00,01/04/2016 00:00,"N","126421",0.00
,"92","000047","2","138","139",01/04/2016 00:00,01/04/2016 18:03,992.82,1083.08,,01/04/2016 00:00,01/04/2016 18:03,"N","126421",0.00
,"93","000048","1","140","141",02/25/2016 21:57,02/26/2016 05:56,439.10,479.02,,02/25/2016 21:57,02/26/2016 05:56,"N","126422",0.00
,"94","000048","2","141","142",02/26/2016 05:56,02/27/2016 00:00,992.82,1083.08,,02/26/2016 05:56,02/27/2016 00:00,"N","126422",0.00
,"95","000049","1","143","144",09/13/2016 13:11,09/14/2016 00:00,594.07,648.08,,09/13/2016 13:11,09/14/2016 00:00,"N","126423",0.00
,"96","000050","1","145","146",04/07/2016 16:00,04/08/2016 00:00,439.10,479.02,,04/07/2016 16:00,04/08/2016 00:00,"N","126424",0.00
,"97","000050","2","146","147",04/08/2016 00:00,04/08/2016 18:03,992.82,1083.08,,04/08/2016 00:00,04/08/2016 18:03,"N","126424",0.00
,"98","000051","1","148","149",03/06/2016 16:00,03/07/2016 00:00,439.10,479.02,,03/06/2016 16:00,03/07/2016 00:00,"N","126425",0.00
,"99","000052","1","150","151",02/10/2016 16:00,02/11/2016 00:00,439.10,479.02,,02/10/2016 16:00,02/11/2016 00:00,"N","126426",0.00
,"100","000053","1","152","153",01/19/2016 21:57,01/20/2016 05:56,439.10,479.02,,01/19/2016 21:57,01/20/2016 05:56,"N","126427",0.00
,"101","000053","2","153","154",01/20/2016 05:56,01/21/2016 00:00,992.82,1083.08,,01/20/2016 05:56,01/21/2016 00:00,"N","126427",0.00
,"102","000054","1","155","156",03/30/2016 16:00,03/31/2016 00:00,439.10,479.02,,03/30/2016 16:00,03/31/2016 00:00,"N","126428",0.00
,"103","000055","1","157","158",11/27/2016 16:00,11/28/2016 00:00,439.10,479.02,,11/27/2016 16:00,11/28/2016 00:00,"N","126429",0.00
,"104","000056","1","159","160",01/26/2016 21:57,01/27/2016 05:56,439.10,479.02,,01/26/2016 21:57,01/27/2016 05:56,"N","126430",0.00
,"105","000056","2","160","161",01/27/2016 05:56,01/28/2016 00:00,992.82,1083.08,,01/27/2016 05:56,01/28/2016 00:00,"N","126430",0.00
,"106","000057","1","162","163",01/12/2016 13:11,01/13/2016 00:00,594.07,648.08,,01/12/2016 13:11,01/13/2016 00:00,"N","126431",0.00
,"107","000058","1","164","165",01/30/2016 16:00,01/31/2016 00:00,439.10,479.02,,01/30/2016 16:00,01/31/2016 00:00,"N","126432",0.00
,"108","000059","1","166","167",02/16/2016 16:00,02/17/2016 00:00,439.10,479.02,,02/16/2016 16:00,02/17/2016 00:00,"N","126433",0.00
,"109","000060","1","168","169",12/01/2016 16:00,12/02/2016 00:00,439.10,479.02,,12/01/2016 16:00,12/02/2016 00:00,"N","126434",0.00
,"110","000061","1","170","171",04/26/2016 13:11,04/27/2016 00:00,594.07,648.08,,04/26/2016 13:11,04/27/2016 00:00,"N","126435",0.00
