SiteName	ProductName	PeriodName	ScenarioID	StepNumber	StatisticSource	TotalDemandQty	NonZeroDemandQtyMean	NonZeroDemandQtyStdDev	DemandQtyMean	DemandQtyStdDev	DemandIntervalMean	COV	MinDemand	MaxDemand	AggregationPeriodCount	OrderCount	Outliers	PotentialRevenue	CostOfGoods	TotalWeight	TotalCube	Intermittency	Variability	Clumpiness	DemandClass	DemandClassDetails
cz_2	FG_01	PERIOD_004	5	1	Guru Calculation from Demand	273	91	7.21110255092798	9.1	27.8312030294949	7.25	0.00627943485086342	83	97	30	3	0	28665	27300	8190	273	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_4	FG_01	PERIOD_004	5	1	Guru Calculation from Demand	358	89.5	5.44671154612273	11.9333333333333	30.9938073162047	5.8	0.00370358811106603	83	94	30	4	0	37590	35800	10740	358	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_4	FG_02	PERIOD_004	5	1	Guru Calculation from Demand	408	58.2857142857143	23.3931206819034	13.6	27.2379046234446	4.14285714285714	0.161083877995643	33	90	30	7	0	51000	48960	12240	408	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_3	FG_02	PERIOD_004	5	1	Guru Calculation from Demand	350	50	15.9791530856092	11.6666666666667	22.7039922561609	4.14285714285714	0.102133333333333	31	82	30	7	0	43750	42000	10500	350	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_2	FG_02	PERIOD_005	5	1	Guru Calculation from Demand	581	72.625	28.7846065011939	18.741935483871	35.1690846643616	3.33333333333333	0.157089914330828	9	100	31	8	0	72625	69720	17430	581	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_2	FG_01	PERIOD_005	5	1	Guru Calculation from Demand	288	96	2.64575131106459	9.29032258064516	28.8596529759537	7.5	0.000759548611111111	94	99	31	3	0	30240	28800	8640	288	Intermittent	LowVariable		Slow	Slow-LowVariable
cz_4	FG_02	PERIOD_005	5	1	Guru Calculation from Demand	436	62.2857142857143	30.966187396978	14.0645161290323	29.8763401193106	3.75	0.247171604522627	10	99	31	7	0	54500	52320	13080	436	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_1	FG_02	PERIOD_005	5	1	Guru Calculation from Demand	508	72.5714285714286	21.4542703042008	16.3870967741935	32.3024017882622	3.75	0.0873969247938496	35	98	31	7	0	63500	60960	15240	508	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_6	FG_02	PERIOD_005	5	1	Guru Calculation from Demand	272	38.8571428571429	38.8691333040695	8.77419354838709	23.9773638770951	3.75	1.0006172505767	2	93	31	7	0	34000	32640	8160	272	Intermittent	HighlyVariable		Lumpy	Lumpy
cz_7	FG_02	PERIOD_005	5	1	Guru Calculation from Demand	373	62.1666666666667	21.5908931419399	12.0322580645161	26.4770137678802	4.28571428571429	0.120621868913023	37	92	31	6	0	46625	44760	11190	373	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_3	FG_02	PERIOD_005	5	1	Guru Calculation from Demand	301	50.1666666666667	38.6233953280478	9.70967741935484	25.5841012458742	4.28571428571429	0.592748424410327	4	91	31	6	0	37625	36120	9030	301	Intermittent	HighlyVariable		Lumpy	Lumpy
cz_5	FG_02	PERIOD_005	5	1	Guru Calculation from Demand	533	53.3	27.3579157750651	17.1935483870968	29.4283529438745	2.72727272727273	0.263458125994162	7	84	31	10	0	66625	63960	15990	533	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_6	FG_02	PERIOD_006	5	1	Guru Calculation from Demand	677	67.7	29.0709859176159	22.5666666666667	36.2754627179627	2.9	0.184392046373287	9	100	30	10	0	84625	81240	20310	677	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_1	FG_02	PERIOD_006	5	1	Guru Calculation from Demand	587	58.7	27.0926394268095	19.5666666666667	31.9360172125815	2.9	0.213022968146035	4	98	30	10	0	73375	70440	17610	587	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_3	FG_02	PERIOD_006	5	1	Guru Calculation from Demand	548	68.5	31.7760017263703	18.2666666666667	34.5392663433986	3.22222222222222	0.215187657459489	6	97	30	8	0	68500	65760	16440	548	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_5	FG_02	PERIOD_006	5	1	Guru Calculation from Demand	555	69.375	28.7150408571635	18.5	34.2443048373464	3.22222222222222	0.171321901051631	5	97	30	8	0	69375	66600	16650	555	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_7	FG_02	PERIOD_006	5	1	Guru Calculation from Demand	511	56.7777777777778	31.0514805515686	17.0333333333333	31.0855142373791	3.22222222222222	0.299094098138411	7	92	30	9	0	63875	61320	15330	511	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_2	FG_02	PERIOD_006	5	1	Guru Calculation from Demand	512	56.8888888888889	18.6376262198573	17.0666666666667	28.2646767896431	3.22222222222222	0.107331275939941	32	91	30	9	0	64000	61440	15360	512	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_4	FG_02	PERIOD_006	5	1	Guru Calculation from Demand	384	54.8571428571429	26.2388298229207	12.8	26.4449982233783	3.625	0.228782371238426	9	81	30	7	0	48000	46080	11520	384	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_2	FG_02	PERIOD_007	5	1	Guru Calculation from Demand	471	58.875	32.3924043124751	15.1935483870968	30.5061953869906	3.33333333333333	0.302708439184564	6	99	31	8	0	58875	56520	14130	471	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_5	FG_02	PERIOD_007	5	1	Guru Calculation from Demand	451	56.375	23.969847129854	14.5483870967742	27.6198463786187	3.33333333333333	0.180782929146998	32	96	31	8	0	56375	54120	13530	451	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_1	FG_02	PERIOD_007	5	1	Guru Calculation from Demand	480	43.6363636363636	36.5466078515441	15.4838709677419	29.9275469177834	3	0.701450520833333	5	94	31	11	0	60000	57600	14400	480	Intermittent	HighlyVariable		Lumpy	Lumpy
cz_4	FG_02	PERIOD_007	5	1	Guru Calculation from Demand	455	50.5555555555556	26.5429421462237	14.6774193548387	27.0559754296831	3	0.275651491365777	4	92	31	9	0	56875	54600	13650	455	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_6	FG_02	PERIOD_007	5	1	Guru Calculation from Demand	392	56	36.0970912955601	12.6451612903226	28.7594023895917	3.75	0.415497448979592	6	91	31	7	0	49000	47040	11760	392	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_3	FG_02	PERIOD_007	5	1	Guru Calculation from Demand	545	54.5	23.2343137048059	17.5806451612903	28.8557032994038	2.72727272727273	0.181746766546026	4	87	31	10	0	68125	65400	16350	545	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_7	FG_02	PERIOD_007	5	1	Guru Calculation from Demand	476	59.5	14.0407570003493	15.3548387096774	27.3209911815034	3.75	0.0556861400022194	40	81	31	8	0	59500	57120	14280	476	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_4	FG_02	PERIOD_008	5	1	Guru Calculation from Demand	481	53.4444444444444	38.0003654953183	15.5161290322581	31.5149392804343	3.33333333333333	0.50555733248041	5	96	31	9	0	60125	57720	14430	481	Intermittent	HighlyVariable		Lumpy	Lumpy
cz_1	FG_02	PERIOD_008	5	1	Guru Calculation from Demand	429	71.5	23.4925520112226	13.8387096774194	30.2744080858113	4.28571428571429	0.107956379285051	31	95	31	6	0	53625	51480	12870	429	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_2	FG_02	PERIOD_008	5	1	Guru Calculation from Demand	595	66.1111111111111	30.2425381063017	19.1935483870968	34.2699278812963	3.33333333333333	0.209260645434644	6	94	31	9	0	74375	71400	17850	595	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_5	FG_02	PERIOD_008	5	1	Guru Calculation from Demand	465	51.6666666666667	33.7120156620751	15	29.5194850903602	3.33333333333333	0.425744016649324	2	94	31	9	0	58125	55800	13950	465	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_3	FG_02	PERIOD_008	5	1	Guru Calculation from Demand	443	63.2857142857143	22.1337923073467	14.2903225806452	28.6614648943921	4.28571428571429	0.122320793142046	33	93	31	7	0	55375	53160	13290	443	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_7	FG_02	PERIOD_008	5	1	Guru Calculation from Demand	349	49.8571428571429	34.532248558068	11.258064516129	26.2208158300938	3.75	0.479727862113885	8	88	31	7	0	43625	41880	10470	349	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_6	FG_02	PERIOD_008	5	1	Guru Calculation from Demand	421	60.1428571428571	15.7842597907807	13.5806451612903	26.5188916228267	3.75	0.0688779684158857	37	84	31	7	0	52625	50520	12630	421	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_1	FG_01	PERIOD_009	5	1	Guru Calculation from Demand	200	200		6.66666666666667	36.5148371670111			200	200	30	1	0	21000	20000	6000	200				ExtremelySlow	ExtremelySlow
cz_5	FG_01	PERIOD_009	5	1	Guru Calculation from Demand	400	200		13.3333333333333	50.7416263404925	9.66666666666667		200	200	30	2	0	42000	40000	12000	400				ExtremelySlow	ExtremelySlow
cz_3	FG_01	PERIOD_009	5	1	Guru Calculation from Demand	200	200		6.66666666666667	36.5148371670111			200	200	30	1	0	21000	20000	6000	200				ExtremelySlow	ExtremelySlow
cz_1	FG_02	PERIOD_009	5	1	Guru Calculation from Demand	526	65.75	27.6030536612993	17.5333333333333	32.5340493608787	3.22222222222222	0.176247410586493	10	99	30	8	0	65750	63120	15780	526	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_7	FG_02	PERIOD_009	5	1	Guru Calculation from Demand	585	58.5	26.7924118610724	19.5	31.7726297306345	2.9	0.209754790951372	4	99	30	10	0	73125	70200	17550	585	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_2	FG_02	PERIOD_009	5	1	Guru Calculation from Demand	456	65.1428571428571	22.726112524499	15.2	29.869139881178	3.625	0.121707320201088	45	99	30	7	0	57000	54720	13680	456	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_6	FG_02	PERIOD_009	5	1	Guru Calculation from Demand	458	65.4285714285714	25.1320323018065	15.2666666666667	30.3791368215588	3.625	0.1475435886679	33	96	30	7	0	57250	54960	13740	458	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_3	FG_02	PERIOD_009	5	1	Guru Calculation from Demand	280	46.6666666666667	29.9243490600325	9.33333333333334	22.6903189645418	4.14285714285714	0.411183673469388	5	94	30	6	0	35000	33600	8400	280	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_4	FG_02	PERIOD_009	5	1	Guru Calculation from Demand	453	64.7142857142857	23.3360542631232	15.1	29.7939475455138	3.625	0.130033283140603	20	91	30	7	0	56625	54360	13590	453	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_5	FG_02	PERIOD_009	5	1	Guru Calculation from Demand	440	55	30.8822649058369	14.6666666666667	29.0200089514154	3.22222222222222	0.315277449822904	7	91	30	8	0	55000	52800	13200	440	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_7	FG_01	PERIOD_010	5	1	Guru Calculation from Demand	301	301		9.70967741935484	54.0611959100592			301	301	31	1	0	31605	30100	9030	301				ExtremelySlow	ExtremelySlow
cz_4	FG_02	PERIOD_010	5	1	Guru Calculation from Demand	484	80.6666666666667	18.6297253513482	15.6129032258065	33.2772969849364	4.28571428571429	0.0533365207294584	53	100	31	6	0	60500	58080	14520	484	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_6	FG_02	PERIOD_010	5	1	Guru Calculation from Demand	341	37.8888888888889	39.6876695096992	11	26.9382008802865	3	1.09720418641051	2	98	31	9	0	42625	40920	10230	341	Intermittent	HighlyVariable		Lumpy	Lumpy
cz_5	FG_02	PERIOD_010	5	1	Guru Calculation from Demand	427	53.375	29.2278609744685	13.7741935483871	27.6221042855408	3.33333333333333	0.29985982952324	5	94	31	8	0	53375	51240	12810	427	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_1	FG_02	PERIOD_010	5	1	Guru Calculation from Demand	612	76.5	24.4423520027957	19.741935483871	36.0175584420853	3.33333333333333	0.102085278555867	20	93	31	8	0	76500	73440	18360	612	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_3	FG_02	PERIOD_010	5	1	Guru Calculation from Demand	644	71.5555555555556	14.5954711392876	20.7741935483871	33.8661184444664	3	0.0416053827012847	49	91	31	9	0	80500	77280	19320	644	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_7	FG_02	PERIOD_010	5	1	Guru Calculation from Demand	369	52.7142857142857	15.7449916451157	11.9032258064516	23.4852504616687	3.75	0.0892130149847117	36	77	31	7	0	46125	44280	11070	369	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_2	FG_02	PERIOD_010	5	1	Guru Calculation from Demand	234	39	29.0172362570938	7.54838709677419	19.6381239933578	4.28571428571429	0.553583168967784	7	76	31	6	0	29250	28080	7020	234	Intermittent	HighlyVariable		Lumpy	Lumpy
cz_4	FG_01	PERIOD_011	5	1	Guru Calculation from Demand	100	100		3.33333333333333	18.2574185835055			100	100	30	1	0	10500	10000	3000	100				ExtremelySlow	ExtremelySlow
cz_7	FG_01	PERIOD_011	5	1	Guru Calculation from Demand	100	100		3.33333333333333	18.2574185835055			100	100	30	1	0	10500	10000	3000	100				ExtremelySlow	ExtremelySlow
cz_5	FG_02	PERIOD_011	5	1	Guru Calculation from Demand	523	52.3	34.1989278584383	17.4333333333333	31.4924001049113	2.63636363636364	0.427584156219877	8	99	30	10	0	65375	62760	15690	523	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_2	FG_02	PERIOD_011	5	1	Guru Calculation from Demand	595	59.5	32.5584943686829	19.8333333333333	33.8058180397004	2.9	0.299429575751869	10	98	30	10	0	74375	71400	17850	595	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_4	FG_02	PERIOD_011	5	1	Guru Calculation from Demand	537	67.125	23.3081071119655	17.9	32.2900112664305	3.22222222222222	0.120571707975347	37	95	30	8	0	67125	64440	16110	537	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_7	FG_02	PERIOD_011	5	1	Guru Calculation from Demand	508	63.5	30.6640785657374	16.9333333333333	32.2906342067056	3.625	0.233191323525504	7	94	30	8	0	63500	60960	15240	508	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
