Site	Product	ScenarioID	StepNumber	Rep	Time	Value	PotentialRevenue	Outlier	AdjustedDemand
cz_5	FG_02	1	1	1	01/21/2016	57	7125	False	
cz_5	FG_02	1	1	1	01/24/2016	76	9500	False	
cz_5	FG_02	1	1	1	01/27/2016	95	11875	False	
cz_5	FG_02	1	1	1	01/31/2016	55	6875	False	
cz_8	FG_01	1	1	1	01/04/2016	89	9345	False	
cz_8	FG_01	1	1	1	01/12/2016	85	8925	False	
cz_8	FG_01	1	1	1	01/18/2016	94	9870	False	
cz_8	FG_01	1	1	1	01/25/2016	93	9765	False	
cz_1	FG_02	1	1	1	01/01/2016	12	1500	False	
cz_1	FG_02	1	1	1	01/04/2016	61.5	7687.5	False	
cz_1	FG_02	1	1	1	01/09/2016	106.5	13312.5	False	
cz_1	FG_02	1	1	1	01/12/2016	96	12000	False	
cz_1	FG_02	1	1	1	01/18/2016	132	16500	False	
cz_1	FG_02	1	1	1	01/21/2016	141	17625	False	
cz_1	FG_02	1	1	1	01/24/2016	75	9375	False	
cz_1	FG_02	1	1	1	01/27/2016	87	10875	False	
cz_1	FG_02	1	1	1	01/31/2016	72	9000	False	
cz_7	FG_01	1	1	1	01/03/2016	88	9240	False	
cz_7	FG_01	1	1	1	01/06/2016	93	9765	False	
cz_2	FG_02	1	1	1	01/01/2016	65	8125	False	
cz_2	FG_02	1	1	1	01/03/2016	45	5625	False	
cz_2	FG_02	1	1	1	01/06/2016	31	3875	False	
cz_2	FG_02	1	1	1	01/08/2016	93	11625	False	
cz_2	FG_02	1	1	1	01/11/2016	42	5250	False	
cz_2	FG_02	1	1	1	01/13/2016	78	9750	False	
cz_2	FG_02	1	1	1	01/16/2016	86	10750	False	
cz_2	FG_02	1	1	1	01/19/2016	71	8875	False	
cz_2	FG_02	1	1	1	01/22/2016	77	9625	False	
cz_2	FG_02	1	1	1	01/25/2016	69	8625	False	
cz_2	FG_02	1	1	1	01/31/2016	69	8625	False	
cz_6	FG_02	1	1	1	01/01/2016	57	7125	False	
cz_6	FG_02	1	1	1	01/04/2016	61	7625	False	
cz_6	FG_02	1	1	1	01/10/2016	35	4375	False	
cz_6	FG_02	1	1	1	01/16/2016	84	10500	False	
cz_6	FG_02	1	1	1	01/19/2016	88	11000	False	
cz_6	FG_02	1	1	1	01/26/2016	6	750	False	
cz_6	FG_02	1	1	1	01/28/2016	39	4875	False	
cz_6	FG_02	1	1	1	01/31/2016	4	500	False	
cz_3	FG_01	1	1	1	02/03/2016	86	9030	False	
cz_3	FG_01	1	1	1	02/06/2016	100	10500	False	
cz_3	FG_01	1	1	1	02/24/2016	94	9870	False	
cz_3	FG_01	1	1	1	02/27/2016	91	9555	False	
cz_8	FG_01	1	1	1	02/02/2016	97	10185	False	
cz_8	FG_01	1	1	1	02/05/2016	86	9030	False	
cz_8	FG_01	1	1	1	02/09/2016	97	10185	False	
cz_8	FG_01	1	1	1	02/15/2016	98	10290	False	
cz_8	FG_01	1	1	1	02/18/2016	90	9450	False	
cz_8	FG_01	1	1	1	02/23/2016	100	10500	False	
cz_2	FG_01	1	1	1	02/03/2016	78	8190	False	
cz_2	FG_01	1	1	1	02/06/2016	89	9345	False	
cz_2	FG_01	1	1	1	02/09/2016	90	9450	False	
cz_2	FG_01	1	1	1	02/15/2016	85	8925	False	
cz_2	FG_01	1	1	1	02/19/2016	91	9555	False	
cz_2	FG_01	1	1	1	02/25/2016	100	10500	False	
cz_2	FG_01	1	1	1	02/28/2016	89	9345	False	
cz_4	FG_01	1	1	1	02/05/2016	86	9030	False	
cz_4	FG_01	1	1	1	02/11/2016	97	10185	False	
cz_4	FG_01	1	1	1	02/17/2016	99	10395	False	
cz_4	FG_01	1	1	1	02/23/2016	92	9660	False	
cz_7	FG_01	1	1	1	02/03/2016	87	9135	False	
cz_7	FG_01	1	1	1	02/15/2016	83	8715	False	
cz_7	FG_01	1	1	1	02/20/2016	98	10290	False	
cz_7	FG_01	1	1	1	02/26/2016	97	10185	False	
cz_8	FG_02	1	1	1	02/02/2016	83	10375	False	
cz_8	FG_02	1	1	1	02/05/2016	97	12125	False	
cz_8	FG_02	1	1	1	02/09/2016	31	3875	False	
cz_8	FG_02	1	1	1	02/12/2016	7	875	False	
cz_8	FG_02	1	1	1	02/15/2016	60	7500	False	
cz_8	FG_02	1	1	1	02/20/2016	39	4875	False	
cz_8	FG_02	1	1	1	02/23/2016	36	4500	False	
cz_7	FG_02	1	1	1	02/05/2016	92	11500	False	
cz_7	FG_02	1	1	1	02/08/2016	96	12000	False	
cz_7	FG_02	1	1	1	02/11/2016	50	6250	False	
cz_7	FG_02	1	1	1	02/15/2016	84	10500	False	
cz_7	FG_02	1	1	1	02/17/2016	79	9875	False	
cz_7	FG_02	1	1	1	02/23/2016	2	250	False	
cz_7	FG_02	1	1	1	02/26/2016	67	8375	False	
cz_1	FG_01	1	1	1	02/05/2016	138	14490	False	
cz_1	FG_01	1	1	1	02/08/2016	123	12915	False	
cz_1	FG_01	1	1	1	02/14/2016	141	14805	False	
cz_1	FG_01	1	1	1	02/18/2016	144	15120	False	
cz_1	FG_01	1	1	1	02/26/2016	138	14490	False	
cz_6	FG_01	1	1	1	02/14/2016	95	9975	False	
cz_6	FG_01	1	1	1	02/17/2016	86	9030	False	
cz_6	FG_01	1	1	1	02/26/2016	96	10080	False	
cz_2	FG_02	1	1	1	02/06/2016	83	10375	False	
cz_2	FG_02	1	1	1	02/09/2016	37	4625	False	
cz_2	FG_02	1	1	1	02/15/2016	50	6250	False	
cz_2	FG_02	1	1	1	02/19/2016	95	11875	False	
cz_2	FG_02	1	1	1	02/22/2016	62	7750	False	
cz_2	FG_02	1	1	1	02/28/2016	57	7125	False	
cz_5	FG_01	1	1	1	02/06/2016	85	8925	False	
cz_5	FG_01	1	1	1	02/09/2016	86	9030	False	
cz_5	FG_01	1	1	1	02/12/2016	92	9660	False	
cz_5	FG_01	1	1	1	02/15/2016	94	9870	False	
cz_5	FG_01	1	1	1	02/18/2016	77	8085	False	
cz_5	FG_01	1	1	1	02/20/2016	94	9870	False	
cz_5	FG_01	1	1	1	02/24/2016	95	9975	False	
cz_6	FG_02	1	1	1	02/02/2016	69	8625	False	
cz_6	FG_02	1	1	1	02/06/2016	79	9875	False	
cz_6	FG_02	1	1	1	02/09/2016	92	11500	False	
cz_6	FG_02	1	1	1	02/12/2016	93	11625	False	
cz_6	FG_02	1	1	1	02/14/2016	44	5500	False	
cz_6	FG_02	1	1	1	02/17/2016	62	7750	False	
cz_6	FG_02	1	1	1	02/24/2016	94	11750	False	
cz_6	FG_02	1	1	1	02/26/2016	37	4625	False	
cz_4	FG_02	1	1	1	02/03/2016	37	4625	False	
cz_4	FG_02	1	1	1	02/05/2016	50	6250	False	
cz_4	FG_02	1	1	1	02/08/2016	69	8625	False	
cz_4	FG_02	1	1	1	02/17/2016	53	6625	False	
cz_4	FG_02	1	1	1	02/20/2016	85	10625	False	
cz_4	FG_02	1	1	1	02/23/2016	9	1125	False	
cz_4	FG_02	1	1	1	02/27/2016	8	1000	False	
cz_1	FG_02	1	1	1	02/02/2016	9	1125	False	
cz_1	FG_02	1	1	1	02/05/2016	90	11250	False	
cz_1	FG_02	1	1	1	02/11/2016	99	12375	False	
cz_1	FG_02	1	1	1	02/14/2016	121.5	15187.5	False	
cz_1	FG_02	1	1	1	02/18/2016	84	10500	False	
cz_1	FG_02	1	1	1	02/21/2016	9	1125	False	
cz_1	FG_02	1	1	1	02/23/2016	49.5	6187.5	False	
cz_1	FG_02	1	1	1	02/26/2016	85.5	10687.5	False	
cz_3	FG_02	1	1	1	02/03/2016	57	7125	False	
cz_3	FG_02	1	1	1	02/09/2016	32	4000	False	
cz_3	FG_02	1	1	1	02/12/2016	75	9375	False	
cz_3	FG_02	1	1	1	02/15/2016	2	250	False	
cz_3	FG_02	1	1	1	02/21/2016	5	625	False	
cz_3	FG_02	1	1	1	02/24/2016	67	8375	False	
cz_3	FG_02	1	1	1	02/27/2016	79	9875	False	
cz_5	FG_02	1	1	1	02/03/2016	70	8750	False	
cz_5	FG_02	1	1	1	02/06/2016	68	8500	False	
cz_5	FG_02	1	1	1	02/12/2016	48	6000	False	
cz_5	FG_02	1	1	1	02/18/2016	39	4875	False	
cz_5	FG_02	1	1	1	02/20/2016	56	7000	False	
cz_5	FG_02	1	1	1	02/27/2016	44	5500	False	
cz_7	FG_01	1	1	1	03/07/2016	100	10500	False	
cz_7	FG_01	1	1	1	03/16/2016	79	8295	False	
cz_7	FG_01	1	1	1	03/23/2016	98	10290	False	
cz_8	FG_02	1	1	1	03/01/2016	99	12375	False	
cz_8	FG_02	1	1	1	03/03/2016	54	6750	False	
cz_8	FG_02	1	1	1	03/06/2016	34	4250	False	
cz_8	FG_02	1	1	1	03/12/2016	99	12375	False	
cz_8	FG_02	1	1	1	03/15/2016	81	10125	False	
cz_8	FG_02	1	1	1	03/17/2016	34	4250	False	
cz_8	FG_02	1	1	1	03/21/2016	59	7375	False	
cz_8	FG_02	1	1	1	03/24/2016	90	11250	False	
cz_8	FG_02	1	1	1	03/27/2016	5	625	False	
cz_8	FG_02	1	1	1	03/31/2016	63	7875	False	
cz_2	FG_01	1	1	1	03/22/2016	92	9660	False	
cz_2	FG_01	1	1	1	03/28/2016	94	9870	False	
cz_2	FG_01	1	1	1	03/31/2016	99	10395	False	
cz_5	FG_01	1	1	1	03/03/2016	98	10290	False	
cz_5	FG_01	1	1	1	03/21/2016	84	8820	False	
cz_4	FG_02	1	1	1	03/01/2016	97	12125	False	
cz_4	FG_02	1	1	1	03/04/2016	69	8625	False	
cz_4	FG_02	1	1	1	03/07/2016	34	4250	False	
cz_4	FG_02	1	1	1	03/10/2016	97	12125	False	
cz_4	FG_02	1	1	1	03/16/2016	38	4750	False	
cz_4	FG_02	1	1	1	03/19/2016	35	4375	False	
cz_4	FG_02	1	1	1	03/22/2016	80	10000	False	
cz_4	FG_02	1	1	1	03/26/2016	75	9375	False	
cz_4	FG_02	1	1	1	03/28/2016	81	10125	False	
cz_4	FG_02	1	1	1	03/31/2016	5	625	False	
cz_3	FG_02	1	1	1	03/01/2016	91	11375	False	
cz_3	FG_02	1	1	1	03/03/2016	54	6750	False	
cz_3	FG_02	1	1	1	03/06/2016	5	625	False	
cz_3	FG_02	1	1	1	03/13/2016	82	10250	False	
cz_3	FG_02	1	1	1	03/16/2016	57	7125	False	
cz_3	FG_02	1	1	1	03/19/2016	78	9750	False	
cz_3	FG_02	1	1	1	03/22/2016	4	500	False	
cz_3	FG_02	1	1	1	03/26/2016	9	1125	False	
cz_3	FG_02	1	1	1	03/29/2016	97	12125	False	
cz_3	FG_02	1	1	1	03/31/2016	91	11375	False	
cz_1	FG_01	1	1	1	03/31/2016	145.5	15277.5	False	
cz_4	FG_01	1	1	1	03/07/2016	96	10080	False	
cz_4	FG_01	1	1	1	03/31/2016	90	9450	False	
cz_6	FG_01	1	1	1	03/16/2016	96	10080	False	
cz_7	FG_02	1	1	1	03/01/2016	91	11375	False	
cz_7	FG_02	1	1	1	03/04/2016	8	1000	False	
cz_7	FG_02	1	1	1	03/07/2016	41	5125	False	
cz_7	FG_02	1	1	1	03/10/2016	89	11125	False	
cz_7	FG_02	1	1	1	03/13/2016	95	11875	False	
cz_7	FG_02	1	1	1	03/16/2016	47	5875	False	
cz_7	FG_02	1	1	1	03/19/2016	78	9750	False	
cz_7	FG_02	1	1	1	03/26/2016	79	9875	False	
cz_7	FG_02	1	1	1	03/28/2016	65	8125	False	
cz_1	FG_02	1	1	1	03/01/2016	10.5	1312.5	False	
cz_1	FG_02	1	1	1	03/04/2016	141	17625	False	
cz_1	FG_02	1	1	1	03/07/2016	99	12375	False	
cz_1	FG_02	1	1	1	03/09/2016	61.5	7687.5	False	
cz_1	FG_02	1	1	1	03/12/2016	108	13500	False	
cz_1	FG_02	1	1	1	03/16/2016	138	17250	False	
cz_1	FG_02	1	1	1	03/19/2016	85.5	10687.5	False	
cz_1	FG_02	1	1	1	03/22/2016	79.5	9937.5	False	
cz_1	FG_02	1	1	1	03/26/2016	46.5	5812.5	False	
cz_1	FG_02	1	1	1	03/28/2016	111	13875	False	
cz_1	FG_02	1	1	1	03/31/2016	51	6375	False	
cz_8	FG_01	1	1	1	03/17/2016	93	9765	False	
cz_8	FG_01	1	1	1	03/31/2016	94	9870	False	
cz_5	FG_02	1	1	1	03/01/2016	41	5125	False	
cz_5	FG_02	1	1	1	03/03/2016	56	7000	False	
cz_5	FG_02	1	1	1	03/09/2016	83	10375	False	
cz_5	FG_02	1	1	1	03/11/2016	51	6375	False	
cz_5	FG_02	1	1	1	03/15/2016	37	4625	False	
cz_5	FG_02	1	1	1	03/18/2016	92	11500	False	
cz_5	FG_02	1	1	1	03/24/2016	85	10625	False	
cz_5	FG_02	1	1	1	03/27/2016	82	10250	False	
cz_5	FG_02	1	1	1	03/31/2016	80	10000	False	
cz_2	FG_02	1	1	1	03/01/2016	88	11000	False	
cz_2	FG_02	1	1	1	03/04/2016	82	10250	False	
cz_2	FG_02	1	1	1	03/07/2016	51	6375	False	
cz_2	FG_02	1	1	1	03/10/2016	6	750	False	
cz_2	FG_02	1	1	1	03/13/2016	73	9125	False	
cz_2	FG_02	1	1	1	03/16/2016	72	9000	False	
cz_2	FG_02	1	1	1	03/19/2016	60	7500	False	
cz_2	FG_02	1	1	1	03/22/2016	38	4750	False	
cz_2	FG_02	1	1	1	03/31/2016	36	4500	False	
cz_6	FG_02	1	1	1	03/01/2016	45	5625	False	
cz_6	FG_02	1	1	1	03/04/2016	70	8750	False	
cz_6	FG_02	1	1	1	03/07/2016	45	5625	False	
cz_6	FG_02	1	1	1	03/10/2016	47	5875	False	
cz_6	FG_02	1	1	1	03/13/2016	82	10250	False	
cz_6	FG_02	1	1	1	03/16/2016	41	5125	False	
cz_6	FG_02	1	1	1	03/19/2016	42	5250	False	
cz_6	FG_02	1	1	1	03/22/2016	74	9250	False	
cz_6	FG_02	1	1	1	03/25/2016	42	5250	False	
cz_6	FG_02	1	1	1	03/28/2016	43	5375	False	
cz_6	FG_02	1	1	1	03/31/2016	42	5250	False	
cz_3	FG_01	1	1	1	04/05/2016	88	9240	False	
cz_3	FG_01	1	1	1	04/12/2016	100	10500	False	
cz_3	FG_01	1	1	1	04/15/2016	98	10290	False	
cz_3	FG_01	1	1	1	04/24/2016	91	9555	False	
cz_3	FG_01	1	1	1	04/27/2016	94	9870	False	
cz_6	FG_01	1	1	1	04/03/2016	84	8820	False	
cz_6	FG_01	1	1	1	04/06/2016	87	9135	False	
cz_6	FG_01	1	1	1	04/09/2016	93	9765	False	
cz_6	FG_01	1	1	1	04/11/2016	85	8925	False	
cz_6	FG_01	1	1	1	04/18/2016	93	9765	False	
cz_6	FG_01	1	1	1	04/23/2016	100	10500	False	
cz_6	FG_01	1	1	1	04/26/2016	98	10290	False	
cz_1	FG_01	1	1	1	04/03/2016	118.5	12442.5	False	
cz_1	FG_01	1	1	1	04/06/2016	148.5	15592.5	False	
cz_1	FG_01	1	1	1	04/12/2016	147	15435	False	
cz_1	FG_01	1	1	1	04/18/2016	141	14805	False	
cz_1	FG_01	1	1	1	04/21/2016	138	14490	False	
cz_1	FG_01	1	1	1	04/24/2016	150	15750	False	
cz_1	FG_01	1	1	1	04/27/2016	136.5	14332.5	False	
cz_1	FG_02	1	1	1	04/03/2016	79.5	9937.5	False	
cz_1	FG_02	1	1	1	04/06/2016	148.5	18562.5	False	
cz_1	FG_02	1	1	1	04/12/2016	99	12375	False	
cz_1	FG_02	1	1	1	04/15/2016	117	14625	False	
cz_1	FG_02	1	1	1	04/18/2016	108	13500	False	
cz_1	FG_02	1	1	1	04/21/2016	139.5	17437.5	False	
cz_8	FG_01	1	1	1	04/06/2016	95	9975	False	
cz_8	FG_01	1	1	1	04/09/2016	94	9870	False	
cz_8	FG_01	1	1	1	04/12/2016	99	10395	False	
cz_8	FG_01	1	1	1	04/18/2016	98	10290	False	
cz_8	FG_01	1	1	1	04/27/2016	97	10185	False	
cz_2	FG_02	1	1	1	04/02/2016	93	11625	False	
cz_2	FG_02	1	1	1	04/09/2016	7	875	False	
cz_2	FG_02	1	1	1	04/15/2016	69	8625	False	
cz_2	FG_02	1	1	1	04/18/2016	99	12375	False	
cz_2	FG_02	1	1	1	04/24/2016	54	6750	False	
cz_2	FG_02	1	1	1	04/27/2016	99	12375	False	
cz_2	FG_02	1	1	1	04/30/2016	31	3875	False	
cz_6	FG_02	1	1	1	04/03/2016	2	250	False	
cz_6	FG_02	1	1	1	04/09/2016	70	8750	False	
cz_6	FG_02	1	1	1	04/14/2016	75	9375	False	
cz_6	FG_02	1	1	1	04/21/2016	41	5125	False	
cz_6	FG_02	1	1	1	04/23/2016	99	12375	False	
cz_6	FG_02	1	1	1	04/26/2016	42	5250	False	
cz_6	FG_02	1	1	1	04/30/2016	85	10625	False	
cz_7	FG_01	1	1	1	04/03/2016	98	10290	False	
cz_7	FG_01	1	1	1	04/09/2016	86	9030	False	
cz_7	FG_01	1	1	1	04/27/2016	92	9660	False	
cz_7	FG_02	1	1	1	04/03/2016	9	1125	False	
cz_7	FG_02	1	1	1	04/06/2016	37	4625	False	
cz_7	FG_02	1	1	1	04/09/2016	83	10375	False	
cz_7	FG_02	1	1	1	04/15/2016	62	7750	False	
cz_7	FG_02	1	1	1	04/18/2016	48	6000	False	
cz_7	FG_02	1	1	1	04/24/2016	4	500	False	
cz_7	FG_02	1	1	1	04/27/2016	96	12000	False	
cz_7	FG_02	1	1	1	04/30/2016	98	12250	False	
cz_5	FG_01	1	1	1	04/02/2016	97	10185	False	
cz_5	FG_01	1	1	1	04/05/2016	84	8820	False	
cz_5	FG_01	1	1	1	04/12/2016	94	9870	False	
cz_5	FG_01	1	1	1	04/15/2016	93	9765	False	
cz_5	FG_01	1	1	1	04/26/2016	97	10185	False	
cz_5	FG_02	1	1	1	04/02/2016	7	875	False	
cz_5	FG_02	1	1	1	04/05/2016	67	8375	False	
cz_5	FG_02	1	1	1	04/12/2016	97	12125	False	
cz_5	FG_02	1	1	1	04/15/2016	77	9625	False	
cz_5	FG_02	1	1	1	04/17/2016	95	11875	False	
cz_5	FG_02	1	1	1	04/20/2016	43	5375	False	
cz_5	FG_02	1	1	1	04/23/2016	84	10500	False	
cz_5	FG_02	1	1	1	04/26/2016	94	11750	False	
cz_2	FG_01	1	1	1	04/15/2016	93	9765	False	
cz_2	FG_01	1	1	1	04/21/2016	97	10185	False	
cz_2	FG_01	1	1	1	04/24/2016	83	8715	False	
cz_4	FG_01	1	1	1	04/05/2016	87	9135	False	
cz_4	FG_01	1	1	1	04/08/2016	94	9870	False	
cz_4	FG_01	1	1	1	04/14/2016	94	9870	False	
cz_4	FG_01	1	1	1	04/17/2016	83	8715	False	
cz_4	FG_02	1	1	1	04/02/2016	47	5875	False	
cz_4	FG_02	1	1	1	04/05/2016	79	9875	False	
cz_4	FG_02	1	1	1	04/11/2016	35	4375	False	
cz_4	FG_02	1	1	1	04/14/2016	78	9750	False	
cz_4	FG_02	1	1	1	04/17/2016	46	5750	False	
cz_4	FG_02	1	1	1	04/23/2016	33	4125	False	
cz_4	FG_02	1	1	1	04/30/2016	90	11250	False	
cz_8	FG_02	1	1	1	04/06/2016	54	6750	False	
cz_8	FG_02	1	1	1	04/09/2016	88	11000	False	
cz_8	FG_02	1	1	1	04/12/2016	39	4875	False	
cz_8	FG_02	1	1	1	04/15/2016	56	7000	False	
cz_8	FG_02	1	1	1	04/25/2016	55	6875	False	
cz_8	FG_02	1	1	1	04/27/2016	64	8000	False	
cz_8	FG_02	1	1	1	04/30/2016	6	750	False	
cz_3	FG_02	1	1	1	04/03/2016	82	10250	False	
cz_3	FG_02	1	1	1	04/05/2016	41	5125	False	
cz_3	FG_02	1	1	1	04/09/2016	31	3875	False	
cz_3	FG_02	1	1	1	04/15/2016	50	6250	False	
cz_3	FG_02	1	1	1	04/21/2016	43	5375	False	
cz_3	FG_02	1	1	1	04/24/2016	54	6750	False	
cz_3	FG_02	1	1	1	04/30/2016	49	6125	False	
cz_2	FG_02	1	1	1	05/09/2016	93	11625	False	
cz_2	FG_02	1	1	1	05/12/2016	75	9375	False	
cz_2	FG_02	1	1	1	05/16/2016	100	12500	False	
cz_2	FG_02	1	1	1	05/18/2016	94	11750	False	
cz_2	FG_02	1	1	1	05/21/2016	64	8000	False	
cz_2	FG_02	1	1	1	05/24/2016	78	9750	False	
cz_2	FG_02	1	1	1	05/27/2016	9	1125	False	
cz_2	FG_02	1	1	1	05/30/2016	68	8500	False	
cz_2	FG_01	1	1	1	05/03/2016	95	9975	False	
cz_2	FG_01	1	1	1	05/06/2016	99	10395	False	
cz_2	FG_01	1	1	1	05/24/2016	94	9870	False	
cz_4	FG_02	1	1	1	05/09/2016	48	6000	False	
cz_4	FG_02	1	1	1	05/12/2016	64	8000	False	
cz_4	FG_02	1	1	1	05/15/2016	96	12000	False	
cz_4	FG_02	1	1	1	05/18/2016	72	9000	False	
cz_4	FG_02	1	1	1	05/24/2016	47	5875	False	
cz_4	FG_02	1	1	1	05/27/2016	99	12375	False	
cz_4	FG_02	1	1	1	05/30/2016	10	1250	False	
cz_1	FG_02	1	1	1	05/03/2016	85.5	10687.5	False	
cz_1	FG_02	1	1	1	05/05/2016	105	13125	False	
cz_1	FG_02	1	1	1	05/11/2016	52.5	6562.5	False	
cz_1	FG_02	1	1	1	05/14/2016	147	18375	False	
cz_1	FG_02	1	1	1	05/21/2016	138	17250	False	
cz_1	FG_02	1	1	1	05/24/2016	112.5	14062.5	False	
cz_1	FG_02	1	1	1	05/30/2016	121.5	15187.5	False	
cz_8	FG_01	1	1	1	05/18/2016	97	10185	False	
cz_6	FG_02	1	1	1	05/02/2016	38	4750	False	
cz_6	FG_02	1	1	1	05/06/2016	34	4250	False	
cz_6	FG_02	1	1	1	05/11/2016	6	750	False	
cz_6	FG_02	1	1	1	05/17/2016	2	250	False	
cz_6	FG_02	1	1	1	05/20/2016	93	11625	False	
cz_6	FG_02	1	1	1	05/26/2016	91	11375	False	
cz_6	FG_02	1	1	1	05/30/2016	8	1000	False	
cz_7	FG_02	1	1	1	05/03/2016	72	9000	False	
cz_7	FG_02	1	1	1	05/15/2016	78	9750	False	
cz_7	FG_02	1	1	1	05/18/2016	92	11500	False	
cz_7	FG_02	1	1	1	05/22/2016	37	4625	False	
cz_7	FG_02	1	1	1	05/25/2016	47	5875	False	
cz_7	FG_02	1	1	1	05/28/2016	47	5875	False	
cz_3	FG_02	1	1	1	05/06/2016	66	8250	False	
cz_3	FG_02	1	1	1	05/12/2016	7	875	False	
cz_3	FG_02	1	1	1	05/18/2016	89	11125	False	
cz_3	FG_02	1	1	1	05/23/2016	4	500	False	
cz_3	FG_02	1	1	1	05/27/2016	44	5500	False	
cz_3	FG_02	1	1	1	05/30/2016	91	11375	False	
cz_5	FG_02	1	1	1	05/03/2016	75	9375	False	
cz_5	FG_02	1	1	1	05/06/2016	83	10375	False	
cz_5	FG_02	1	1	1	05/09/2016	84	10500	False	
cz_5	FG_02	1	1	1	05/12/2016	48	6000	False	
cz_5	FG_02	1	1	1	05/15/2016	66	8250	False	
