SiteName	ProductName	PeriodName	ScenarioID	ScenarioStepNumber	TargetServiceLevel	OptimizedAverageServiceLevel	ServiceType	SafetyStock	Extra SafetyStock	USF SafetyStock	Total SafetyStock	SafetyStockDOS	SafetyStockCost	Coverage	DemandMean	DemandStdDev	DemandClass	Source Name	Destination Name	BOM Name	Mode	ServiceTime	ImmediateLeadTime	MaxLeadTime	BatchSize	RecommendedPolicy	PolicyParameter1	PolicyParameter2	ExpectedType1Service	ExpectedType2Service	ExpectedType3Service	Lead-Time Demand Distribution	Lead-Time Demand Mean	Lead-Time Demand Stdev	Average Backorders	Average Inventory	Average Order Qty	Sourcing Type	RQ Policy Param1	RQ Policy Param2	BS Policy Param1	BS Policy Param2	sS Policy Param1	sS Policy Param2	TS Policy Param1	TS Policy Param2	Safety Stock Value	ProductSet	Cycle Stock	Cycle Stock Cost	Work In Progress Inventory	Work In Progress Inventory Cost	Incoming In Transit Inventory	Incoming In Transit Inventory Cost	Total Inventory	Total Inventory Cost	Total Inventory Value	Status	Sub-Model ID
DC_1	FG_01	PERIOD_006	0	1																																													0.50000	0.49315								Skipped	6
DC_1	FG_02	PERIOD_006	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	47.90000	50.30894	Slow-HighlyVariable						1	43	1.00000	s,S	48.00000	49.00000	0.95000	0.95000	0.95000	Mixture of Distributions	47.90000		0.00000	1.00000	68.43437	Single	48.00000	1.00000	49.00000		48.00000	49.00000	0	49.00000	0.00000	1	0.50000	0.59178	0.00000	0.00000	18.36167	21.73216	18.86167	22.32395	2263.40000	Success	6
DC_1	FG_01	PERIOD_007	0	1																																													0.50000	0.50959								Skipped	7
DC_1	FG_02	PERIOD_007	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	52.00000	53.83989	Slow-HighlyVariable						1	43	1.00000	s,S	52.00000	53.00000	0.95000	0.95000	0.95000	Mixture of Distributions	52.00000		0.00000	1.00000	94.82353	Single	52.00000	1.00000	53.00000		52.00000	53.00000	0	53.00000	0.00000	1	0.50000	0.61151	0.00000	0.00000	19.93333	24.37874	20.43333	24.99025	2452.00000	Success	7
DC_1	FG_01	PERIOD_008	0	1																																													0.50000	0.50959								Skipped	8
DC_1	FG_02	PERIOD_008	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	47.22581	57.02965	Slow-HighlyVariable						1	43	1.00000	s,S	48.00000	49.00000	0.95000	0.95000	0.95000	Mixture of Distributions	47.22581		0.00000	1.00000	91.50001	Single	48.00000	1.00000	49.00000		48.00000	49.00000	0	49.00000	0.00000	1	0.50000	0.61151	0.00000	0.00000	18.10323	22.14049	18.60323	22.75200	2232.38710	Success	8
DC_1	FG_01	PERIOD_009	0	1																																													0.50000	0.49315								Skipped	9
DC_1	FG_02	PERIOD_009	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	46.96667	50.38027	Slow-HighlyVariable						1	43	1.00000	s,S	47.00000	48.00000	0.95000	0.95000	0.95000	Mixture of Distributions	46.96667		0.00000	1.00000	82.88235	Single	47.00000	1.00000	48.00000		47.00000	48.00000	0	48.00000	0.00000	1	0.50000	0.59178	0.00000	0.00000	18.00389	21.30871	18.50389	21.90049	2220.46667	Success	9
DC_1	FG_02	PERIOD_010	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	29.29032	44.11288	Slow-HighlyVariable						1	43	1.00000	s,S	30.00000	31.00000	0.95000	0.95000	0.95000	Mixture of Distributions	29.29032		0.00000	1.00000	64.86420	Single	30.00000	1.00000	31.00000		30.00000	31.00000	0	31.00000	0.00000	1	0.50000	0.61151	0.00000	0.00000	11.22796	13.73195	11.72796	14.34345	1407.35484	Success	10
DC_1	FG_01	PERIOD_010	0	1																																													0.50000	0.50959								Skipped	10
DC_1	FG_02	PERIOD_011	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	50.76667	61.70938	Slow-HighlyVariable						1	43	1.00000	s,S	51.00000	52.00000	0.95000	0.95000	0.95000	Mixture of Distributions	50.76667		0.00000	1.00000	95.18756	Single	51.00000	1.00000	52.00000		51.00000	52.00000	0	52.00000	0.00000	1	0.50000	0.59178	0.00000	0.00000	19.46056	23.03277	19.96056	23.62455	2395.26667	Success	11
DC_1	FG_01	PERIOD_011	0	1																																													0.50000	0.49315								Skipped	11
DC_1	FG_01	PERIOD_012	0	1																																													0.50000	0.50959								Skipped	12
DC_1	FG_02	PERIOD_012	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	41.32258	47.28240	Slow-HighlyVariable						1	43	1.00000	s,S	42.00000	43.00000	0.95000	0.95000	0.95000	Mixture of Distributions	41.32258		0.00000	1.00000	85.40000	Single	42.00000	1.00000	43.00000		42.00000	43.00000	0	43.00000	0.00000	1	0.50000	0.61151	0.00000	0.00000	15.84032	19.37293	16.34032	19.98444	1960.83871	Success	12
