SiteName	ProductName	PeriodName	DemandMean	DemandStdDev	Intermittency	DemandClass	NonZeroDemandMean	NonZeroDemandStdDev	InterDemandIntervalMean	NonZeroDemandCV2	Variability	Clumpiness	ScenarioID	ScenarioStepNumber	AvgOrderQty	CostOfGoods	TotalWeight	TotalCube	PotentialRevenue	AggregationPeriodCount	TotalDemandQty
DC_4	FG_02	PERIOD_009	47.46667	65.72289	Intermittent	Slow	101.71429	60.77503	1.93333	0.35702	HighlyVariable		0	1	101.71452	170880.00000	42720.00000	1424.00000	178000.00000	30	1424.00000
DC_4	FG_02	PERIOD_010	44.51613	59.96269	Intermittent	Lumpy	81.17647	59.83021	1.66667	0.54323	HighlyVariable		0	1	81.19177	165600.00000	41400.00000	1380.00000	172500.00000	31	1380.00000
DC_4	FG_02	PERIOD_011	45.30000	50.89214	Intermittent	Slow	75.50000	44.76639	1.61111	0.35157	HighlyVariable		0	1	75.50035	163080.00000	40770.00000	1359.00000	169875.00000	30	1359.00000
DC_4	FG_02	PERIOD_012	39.93548	59.62826	Intermittent	Slow	95.23077	56.42865	2.14286	0.35111	HighlyVariable		0	1	95.23099	148560.00000	37140.00000	1238.00000	154750.00000	31	1238.00000
DC_1	FG_02	PERIOD_001	52.45161	51.63257	Intermittent	Slow	81.30000	41.71974	1.57895	0.26333	HighlyVariable		0	1	81.30001	195120.00000	48780.00000	1626.00000	203250.00000	31	1626.00000
DC_1	FG_02	PERIOD_002	41.62069	54.47831	Intermittent	Slow	80.46667	50.85956	1.75000	0.39950	HighlyVariable		0	1	80.46781	144840.00000	36210.00000	1207.00000	150875.00000	29	1207.00000
DC_1	FG_02	PERIOD_003	55.38710	64.31935	Intermittent	Slow	90.36842	59.65010	1.66667	0.43570	HighlyVariable		0	1	90.37063	206040.00000	51510.00000	1717.00000	214625.00000	31	1717.00000
DC_1	FG_02	PERIOD_004	41.70000	71.03236	Intermittent	Slow	113.72727	74.97745	2.63636	0.43464	HighlyVariable		0	1	113.72888	150120.00000	37530.00000	1251.00000	156375.00000	30	1251.00000
DC_1	FG_02	PERIOD_005	45.74194	54.05859	Intermittent	Slow	74.63158	50.93810	1.50000	0.46584	HighlyVariable		0	1	74.63658	170160.00000	42540.00000	1418.00000	177250.00000	31	1418.00000
DC_1	FG_02	PERIOD_006	47.90000	50.30894	Intermittent	Slow	68.42857	46.85037	1.38095	0.46876	HighlyVariable		0	1	68.43437	172440.00000	43110.00000	1437.00000	179625.00000	30	1437.00000
DC_1	FG_02	PERIOD_007	52.00000	53.83989	Intermittent	Slow	94.82353	33.47618	1.87500	0.12463	HighlyVariable		0	1	94.82353	193440.00000	48360.00000	1612.00000	201500.00000	31	1612.00000
DC_1	FG_02	PERIOD_008	47.22581	57.02965	Intermittent	Slow	91.50000	46.72901	1.87500	0.26081	HighlyVariable		0	1	91.50001	175680.00000	43920.00000	1464.00000	183000.00000	31	1464.00000
DC_1	FG_02	PERIOD_009	46.96667	50.38027	Intermittent	Slow	82.88235	37.91583	1.70588	0.20927	HighlyVariable		0	1	82.88235	169080.00000	42270.00000	1409.00000	176125.00000	30	1409.00000
DC_1	FG_02	PERIOD_010	29.29032	44.11288	Intermittent	Slow	64.85714	44.79330	2.00000	0.47699	HighlyVariable		0	1	64.86420	108960.00000	27240.00000	908.00000	113500.00000	31	908.00000
DC_1	FG_02	PERIOD_011	50.76667	61.70938	Intermittent	Slow	95.18750	53.40439	1.81250	0.31477	HighlyVariable		0	1	95.18756	182760.00000	45690.00000	1523.00000	190375.00000	30	1523.00000
DC_1	FG_02	PERIOD_012	41.32258	47.28240	Intermittent	Slow	85.40000	27.52350	1.87500	0.10387	HighlyVariable		0	1	85.40000	153720.00000	38430.00000	1281.00000	160125.00000	31	1281.00000
DC_6	FG_01	PERIOD_001	36.80645	47.12142	Intermittent	Slow	95.08333	3.28795	2.72727	0.00120	LowVariable		0	1	95.08333	114100.00000	34230.00000	1141.00000	119805.00000	31	1141.00000
DC_6	FG_01	PERIOD_002	25.68966	42.44501	Intermittent	Slow	93.12500	5.40998	3.11111	0.00337	HighlyVariable		0	1	93.12500	74500.00000	22350.00000	745.00000	78225.00000	29	745.00000
DC_6	FG_01	PERIOD_003	6.00000	23.23790		ExtremelySlow							0	1		18600.00000	5580.00000	186.00000	19530.00000	31	186.00000
DC_6	FG_01	PERIOD_004	27.63333	48.77781	Intermittent	Slow	103.62500	29.28158	3.22222	0.07985	HighlyVariable		0	1	103.62500	82900.00000	24870.00000	829.00000	87045.00000	30	829.00000
DC_6	FG_01	PERIOD_005											0	1						31	
DC_6	FG_01	PERIOD_006											0	1						30	
DC_6	FG_01	PERIOD_007											0	1						31	
DC_6	FG_01	PERIOD_008											0	1						31	
DC_6	FG_01	PERIOD_009	6.66667	36.51484		ExtremelySlow							0	1		20000.00000	6000.00000	200.00000	21000.00000	30	200.00000
DC_6	FG_01	PERIOD_010											0	1						31	
DC_6	FG_01	PERIOD_011	3.33333	18.25742		ExtremelySlow							0	1		10000.00000	3000.00000	100.00000	10500.00000	30	100.00000
DC_6	FG_01	PERIOD_012	2.93548	16.34408		ExtremelySlow							0	1		9100.00000	2730.00000	91.00000	9555.00000	31	91.00000
DC_6	FG_02	PERIOD_001	36.19355	50.32522	Intermittent	Lumpy	70.12500	50.27110	2.00000	0.51391	HighlyVariable		0	1	70.13653	134640.00000	33660.00000	1122.00000	140250.00000	31	1122.00000
DC_6	FG_02	PERIOD_002	21.65517	33.46029	Intermittent	Slow	52.33333	33.14248	2.15385	0.40106	HighlyVariable		0	1	52.33557	75360.00000	18840.00000	628.00000	78500.00000	29	628.00000
DC_6	FG_02	PERIOD_003	38.03226	50.52622	Intermittent	Slow	84.21429	41.26682	2.30769	0.24012	HighlyVariable		0	1	84.21429	141480.00000	35370.00000	1179.00000	147375.00000	31	1179.00000
DC_6	FG_02	PERIOD_004	25.26667	38.16564	Intermittent	Slow	63.16667	35.05018	2.41667	0.30790	HighlyVariable		0	1	63.16678	90960.00000	22740.00000	758.00000	94750.00000	30	758.00000
DC_6	FG_02	PERIOD_005	23.77419	45.53073	Intermittent	Slow	81.88889	49.19462	3.00000	0.36090	HighlyVariable		0	1	81.88928	88440.00000	22110.00000	737.00000	92125.00000	31	737.00000
DC_6	FG_02	PERIOD_006	31.06667	48.12264	Intermittent	Slow	84.72727	41.40795	2.41667	0.23885	HighlyVariable		0	1	84.72727	111840.00000	27960.00000	932.00000	116500.00000	30	932.00000
DC_6	FG_02	PERIOD_007	32.25806	40.58076	Intermittent	Slow	62.50000	35.74167	1.76471	0.32703	HighlyVariable		0	1	62.50023	120000.00000	30000.00000	1000.00000	125000.00000	31	1000.00000
DC_6	FG_02	PERIOD_008	29.80645	49.65643	Intermittent	Lumpy	71.07692	54.64958	2.30769	0.59118	HighlyVariable		0	1	71.10748	110880.00000	27720.00000	924.00000	115500.00000	31	924.00000
DC_6	FG_02	PERIOD_009	24.43333	36.14786	Intermittent	Slow	61.08333	31.66431	2.23077	0.26872	HighlyVariable		0	1	61.08336	87960.00000	21990.00000	733.00000	91625.00000	30	733.00000
DC_6	FG_02	PERIOD_010	36.38710	49.50736	Intermittent	Slow	86.76923	37.30316	2.14286	0.18482	HighlyVariable		0	1	86.76923	135360.00000	33840.00000	1128.00000	141000.00000	31	1128.00000
DC_6	FG_02	PERIOD_011	30.46667	38.53233	Intermittent	Slow	65.28571	29.39500	2.07143	0.20273	HighlyVariable		0	1	65.28571	109680.00000	27420.00000	914.00000	114250.00000	30	914.00000
DC_6	FG_02	PERIOD_012	24.09677	32.06593	Intermittent	Slow	53.35714	26.29597	2.14286	0.24288	HighlyVariable		0	1	53.35715	89640.00000	22410.00000	747.00000	93375.00000	31	747.00000
DC_4	FG_01	PERIOD_001	37.75806	58.36250	Intermittent	Slow	117.05000	32.27353	3.00000	0.07602	HighlyVariable		0	1	117.05000	117050.00000	35115.00000	1170.50000	122902.50000	31	1170.50000
DC_4	FG_01	PERIOD_002	38.89655	51.07861	Intermittent	Slow	94.00000	31.47293	2.15385	0.11210	HighlyVariable		0	1	94.00000	112800.00000	33840.00000	1128.00000	118440.00000	29	1128.00000
DC_4	FG_01	PERIOD_003	10.53226	28.74571	Intermittent	Slow	81.62500	22.93242	7.50000	0.07893	HighlyVariable		0	1	81.62500	32650.00000	9795.00000	326.50000	34282.50000	31	326.50000
DC_4	FG_01	PERIOD_004	47.71667	59.11017	Intermittent	Slow	102.25000	42.30100	1.93333	0.17115	HighlyVariable		0	1	102.25000	143150.00000	42945.00000	1431.50000	150307.50000	30	1431.50000
DC_4	FG_01	PERIOD_005											0	1						31	
DC_4	FG_01	PERIOD_006											0	1						30	
DC_4	FG_01	PERIOD_007											0	1						31	
DC_4	FG_01	PERIOD_008											0	1						31	
DC_4	FG_01	PERIOD_009	16.66667	64.77193		ExtremelySlow							0	1		50000.00000	15000.00000	500.00000	52500.00000	30	500.00000
DC_4	FG_01	PERIOD_010											0	1						31	
DC_4	FG_01	PERIOD_011											0	1						30	
DC_4	FG_01	PERIOD_012											0	1						31	
Plant2	Bulk_02	PERIOD_001											0	1					0.00000	31	
Plant2	Bulk_02	PERIOD_002											0	1					0.00000	29	
Plant2	Bulk_02	PERIOD_003											0	1					0.00000	31	
Plant2	Bulk_02	PERIOD_004											0	1					0.00000	30	
Plant2	Bulk_02	PERIOD_005											0	1					0.00000	31	
Plant2	Bulk_02	PERIOD_006											0	1					0.00000	30	
Plant2	Bulk_02	PERIOD_007											0	1					0.00000	31	
Plant2	Bulk_02	PERIOD_008											0	1					0.00000	31	
Plant2	Bulk_02	PERIOD_009											0	1					0.00000	30	
Plant2	Bulk_02	PERIOD_010											0	1					0.00000	31	
Plant2	Bulk_02	PERIOD_011											0	1					0.00000	30	
Plant2	Bulk_02	PERIOD_012											0	1					0.00000	31	
Plant2	000001	PERIOD_001	501.93548	418.37574	Non-Intermittent	Smooth	576.29630	396.81877	1.15385	0.47412			0	1	576.30242	155600.00000	311200.00000	15560.00000	0.00000	31	15560.00000
Plant2	000001	PERIOD_002	465.58621	376.25196	Non-Intermittent	Smooth	613.72727	305.78816	1.21739	0.24825			0	1	613.72727	135020.00000	270040.00000	13502.00000	0.00000	29	13502.00000
Plant2	000001	PERIOD_003	387.54839	374.81968	Non-Intermittent	Erratic	480.56000	359.23832	1.25000	0.55882			0	1	480.59315	120140.00000	240280.00000	12014.00000	0.00000	31	12014.00000
Plant2	000001	PERIOD_004	471.13333	456.33795	Intermittent	Slow	706.70000	377.63713	1.45000	0.28555	HighlyVariable		0	1	706.70001	141340.00000	282680.00000	14134.00000	0.00000	30	14134.00000
Plant2	000001	PERIOD_005	248.58065	256.69032	Non-Intermittent	Erratic	335.04348	244.05802	1.25000	0.53062			0	1	335.07263	77060.00000	154120.00000	7706.00000	0.00000	31	7706.00000
Plant2	000001	PERIOD_006	279.20000	221.98266	Non-Intermittent	Smooth	310.22222	212.05684	1.07407	0.46726			0	1	310.23286	83760.00000	167520.00000	8376.00000	0.00000	30	8376.00000
Plant2	000001	PERIOD_007	253.87097	222.65485	Non-Intermittent	Smooth	314.80000	204.91299	1.25000	0.42371			0	1	314.80418	78700.00000	157400.00000	7870.00000	0.00000	31	7870.00000
Plant2	000001	PERIOD_008	238.90323	211.28738	Non-Intermittent	Smooth	308.58333	189.18818	1.25000	0.37587			0	1	308.58458	74060.00000	148120.00000	7406.00000	0.00000	31	7406.00000
Plant2	000001	PERIOD_009	291.06667	331.65114	Non-Intermittent	Erratic	379.65217	331.40563	1.26087	0.76199			0	1	379.99871	87320.00000	174640.00000	8732.00000	0.00000	30	8732.00000
Plant2	000001	PERIOD_010	239.80645	260.25544	Intermittent	Slow	371.70000	235.24793	1.42857	0.40056	HighlyVariable		0	1	371.70186	74340.00000	148680.00000	7434.00000	0.00000	31	7434.00000
Plant2	000001	PERIOD_011	266.40000	240.66425	Non-Intermittent	Smooth	363.27273	207.64580	1.31818	0.32672			0	1	363.27290	79920.00000	159840.00000	7992.00000	0.00000	30	7992.00000
Plant2	000001	PERIOD_012	222.90323	226.77909	Intermittent	Slow	314.09091	208.48156	1.36364	0.44058	HighlyVariable		0	1	314.09701	69100.00000	138200.00000	6910.00000	0.00000	31	6910.00000
Plant2	000002	PERIOD_001	752.90323	627.56361	Non-Intermittent	Smooth	864.44444	595.22816	1.15385	0.47412			0	1	864.44836	350100.00000	466800.00000	23340.00000	0.00000	31	23340.00000
Plant2	000002	PERIOD_002	698.37931	564.37794	Non-Intermittent	Smooth	920.59091	458.68224	1.21739	0.24825			0	1	920.59091	303795.00000	405060.00000	20253.00000	0.00000	29	20253.00000
Plant2	000002	PERIOD_003	581.32258	562.22951	Non-Intermittent	Erratic	720.84000	538.85749	1.25000	0.55882			0	1	720.86411	270315.00000	360420.00000	18021.00000	0.00000	31	18021.00000
Plant2	000002	PERIOD_004	706.70000	684.50693	Intermittent	Slow	1060.05000	566.45569	1.45000	0.28555	HighlyVariable		0	1	1060.05000	318015.00000	424020.00000	21201.00000	0.00000	30	21201.00000
Plant2	000002	PERIOD_005	372.87097	385.03547	Non-Intermittent	Erratic	502.56522	366.08703	1.25000	0.53062			0	1	502.58564	173385.00000	231180.00000	11559.00000	0.00000	31	11559.00000
Plant2	000002	PERIOD_006	418.80000	332.97400	Non-Intermittent	Smooth	465.33333	318.08526	1.07407	0.46726			0	1	465.34006	188460.00000	251280.00000	12564.00000	0.00000	30	12564.00000
Plant2	000002	PERIOD_007	380.80645	333.98228	Non-Intermittent	Smooth	472.20000	307.36948	1.25000	0.42371			0	1	472.20242	177075.00000	236100.00000	11805.00000	0.00000	31	11805.00000
Plant2	000002	PERIOD_008	358.35484	316.93107	Non-Intermittent	Smooth	462.87500	283.78227	1.25000	0.37587			0	1	462.87564	166635.00000	222180.00000	11109.00000	0.00000	31	11109.00000
Plant2	000002	PERIOD_009	436.60000	497.47671	Non-Intermittent	Erratic	569.47826	497.10845	1.26087	0.76199			0	1	569.78388	196470.00000	261960.00000	13098.00000	0.00000	30	13098.00000
Plant2	000002	PERIOD_010	359.70968	390.38316	Intermittent	Slow	557.55000	352.87190	1.42857	0.40056	HighlyVariable		0	1	557.55101	167265.00000	223020.00000	11151.00000	0.00000	31	11151.00000
Plant2	000002	PERIOD_011	399.60000	360.99638	Non-Intermittent	Smooth	544.90909	311.46870	1.31818	0.32672			0	1	544.90917	179820.00000	239760.00000	11988.00000	0.00000	30	11988.00000
Plant2	000002	PERIOD_012	334.35484	340.16864	Intermittent	Slow	471.13636	312.72235	1.36364	0.44058	HighlyVariable		0	1	471.14003	155475.00000	207300.00000	10365.00000	0.00000	31	10365.00000
Plant2	000003	PERIOD_001	1003.87097	836.75149	Non-Intermittent	Smooth	1152.59259	793.63755	1.15385	0.47412			0	1	1152.59544	622400.00000	622400.00000	31120.00000	0.00000	31	31120.00000
Plant2	000003	PERIOD_002	931.17241	752.50392	Non-Intermittent	Smooth	1227.45455	611.57632	1.21739	0.24825			0	1	1227.45455	540080.00000	540080.00000	27004.00000	0.00000	29	27004.00000
Plant2	000003	PERIOD_003	775.09677	749.63935	Non-Intermittent	Erratic	961.12000	718.47665	1.25000	0.55882			0	1	961.13923	480560.00000	480560.00000	24028.00000	0.00000	31	24028.00000
Plant2	000003	PERIOD_004	942.26667	912.67590	Intermittent	Slow	1413.40000	755.27425	1.45000	0.28555	HighlyVariable		0	1	1413.40000	565360.00000	565360.00000	28268.00000	0.00000	30	28268.00000
Plant2	000003	PERIOD_005	497.16129	513.38063	Non-Intermittent	Erratic	670.08696	488.11604	1.25000	0.53062			0	1	670.10281	308240.00000	308240.00000	15412.00000	0.00000	31	15412.00000
Plant2	000003	PERIOD_006	558.40000	443.96533	Non-Intermittent	Smooth	620.44444	424.11368	1.07407	0.46726			0	1	620.44930	335040.00000	335040.00000	16752.00000	0.00000	30	16752.00000
Plant2	000003	PERIOD_007	507.74194	445.30970	Non-Intermittent	Smooth	629.60000	409.82598	1.25000	0.42371			0	1	629.60164	314800.00000	314800.00000	15740.00000	0.00000	31	15740.00000
Plant2	000003	PERIOD_008	477.80645	422.57476	Non-Intermittent	Smooth	617.16667	378.37636	1.25000	0.37587			0	1	617.16706	296240.00000	296240.00000	14812.00000	0.00000	31	14812.00000
Plant2	000003	PERIOD_009	582.13333	663.30228	Non-Intermittent	Erratic	759.30435	662.81126	1.26087	0.76199			0	1	759.58384	349280.00000	349280.00000	17464.00000	0.00000	30	17464.00000
Plant2	000003	PERIOD_010	479.61290	520.51088	Intermittent	Slow	743.40000	470.49586	1.42857	0.40056	HighlyVariable		0	1	743.40066	297360.00000	297360.00000	14868.00000	0.00000	31	14868.00000
Plant2	000003	PERIOD_011	532.80000	481.32851	Non-Intermittent	Smooth	726.54545	415.29160	1.31818	0.32672			0	1	726.54550	319680.00000	319680.00000	15984.00000	0.00000	30	15984.00000
Plant2	000003	PERIOD_012	445.80645	453.55819	Intermittent	Slow	628.18182	416.96313	1.36364	0.44058	HighlyVariable		0	1	628.18436	276400.00000	276400.00000	13820.00000	0.00000	31	13820.00000
Filling Plant	FG_01	PERIOD_001	118.19355	115.93573	Intermittent	Slow	174.47619	99.25050	1.50000	0.32359	HighlyVariable		0	1	174.47621	366400.00000	109920.00000	3664.00000	384720.00000	31	3664.00000
Filling Plant	FG_01	PERIOD_002	126.06897	111.68704	Intermittent	Slow	182.80000	86.40882	1.33333	0.22344	HighlyVariable		0	1	182.80000	365600.00000	109680.00000	3656.00000	383880.00000	29	3656.00000
Filling Plant	FG_01	PERIOD_003	42.25806	83.72493	Intermittent	Slow	145.55556	96.80923	3.33333	0.44236	HighlyVariable		0	1	145.55696	131000.00000	39300.00000	1310.00000	137550.00000	31	1310.00000
Filling Plant	FG_01	PERIOD_004	120.63333	132.19304	Intermittent	Slow	212.88235	103.96086	1.61111	0.23848	HighlyVariable		0	1	212.88235	361900.00000	108570.00000	3619.00000	379995.00000	30	3619.00000
Filling Plant	FG_01	PERIOD_005	12.41935	32.80729	Intermittent	Slow	96.25000	2.21736	6.00000	0.00053	LowVariable		0	1	96.25000	38500.00000	11550.00000	385.00000	40425.00000	31	385.00000
Filling Plant	FG_01	PERIOD_006											0	1						30	
Filling Plant	FG_01	PERIOD_007											0	1						31	
Filling Plant	FG_01	PERIOD_008											0	1						31	
Filling Plant	FG_01	PERIOD_009	26.66667	86.83450	Intermittent	Slow	266.66667	115.47005	7.25000	0.18750	HighlyVariable		0	1	266.66667	80000.00000	24000.00000	800.00000	84000.00000	30	800.00000
Filling Plant	FG_01	PERIOD_010	9.70968	54.06120		ExtremelySlow							0	1		30100.00000	9030.00000	301.00000	31605.00000	31	301.00000
Filling Plant	FG_01	PERIOD_011	6.66667	25.37081		ExtremelySlow							0	1		20000.00000	6000.00000	200.00000	21000.00000	30	200.00000
Filling Plant	FG_01	PERIOD_012	6.09677	23.61688		ExtremelySlow							0	1		18900.00000	5670.00000	189.00000	19845.00000	31	189.00000
Filling Plant	FG_02	PERIOD_001	132.77419	120.62413	Non-Intermittent	Erratic	158.30769	115.13636	1.20000	0.52896			0	1	158.31465	493920.00000	123480.00000	4116.00000	514500.00000	31	4116.00000
Filling Plant	FG_02	PERIOD_002	106.72414	87.80412	Non-Intermittent	Smooth	147.38095	67.09506	1.27273	0.20725			0	1	147.38095	371400.00000	92850.00000	3095.00000	386875.00000	29	3095.00000
Filling Plant	FG_02	PERIOD_003	151.51613	143.24754	Non-Intermittent	Smooth	195.70833	133.19240	1.30435	0.46317			0	1	195.70991	563640.00000	140910.00000	4697.00000	587125.00000	31	4697.00000
Filling Plant	FG_02	PERIOD_004	114.93333	116.31554	Intermittent	Slow	181.47368	95.13696	1.52632	0.27483	HighlyVariable		0	1	181.47369	413760.00000	103440.00000	3448.00000	431000.00000	30	3448.00000
Filling Plant	FG_02	PERIOD_005	111.87097	109.39157	Non-Intermittent	Smooth	150.78261	100.91624	1.25000	0.44794			0	1	150.78413	416160.00000	104040.00000	3468.00000	433500.00000	31	3468.00000
Filling Plant	FG_02	PERIOD_006	139.60000	110.99133	Non-Intermittent	Smooth	155.11111	106.02842	1.07407	0.46726			0	1	155.11335	502560.00000	125640.00000	4188.00000	523500.00000	30	4188.00000
Filling Plant	FG_02	PERIOD_007	126.93548	111.32743	Non-Intermittent	Smooth	157.40000	102.45649	1.25000	0.42371			0	1	157.40081	472200.00000	118050.00000	3935.00000	491875.00000	31	3935.00000
Filling Plant	FG_02	PERIOD_008	119.45161	105.64369	Non-Intermittent	Smooth	154.29167	94.59409	1.25000	0.37587			0	1	154.29188	444360.00000	111090.00000	3703.00000	462875.00000	31	3703.00000
Filling Plant	FG_02	PERIOD_009	118.86667	110.01026	Non-Intermittent	Smooth	155.04348	100.44423	1.26087	0.41970			0	1	155.04422	427920.00000	106980.00000	3566.00000	445750.00000	30	3566.00000
Filling Plant	FG_02	PERIOD_010	110.19355	122.71088	Intermittent	Slow	170.80000	113.48712	1.42857	0.44149	HighlyVariable		0	1	170.80112	409920.00000	102480.00000	3416.00000	427000.00000	31	3416.00000
Filling Plant	FG_02	PERIOD_011	126.53333	118.21393	Non-Intermittent	Smooth	172.54545	104.78992	1.31818	0.36883			0	1	172.54559	455520.00000	113880.00000	3796.00000	474500.00000	30	3796.00000
Filling Plant	FG_02	PERIOD_012	105.35484	99.25272	Intermittent	Slow	148.45455	85.84855	1.36364	0.33441	HighlyVariable		0	1	148.45460	391920.00000	97980.00000	3266.00000	408250.00000	31	3266.00000
Filling Plant	Pack_01	PERIOD_001	118.19355	115.93573	Intermittent	Slow	174.47619	99.25050	1.50000	0.32359	HighlyVariable		0	1	174.47621	3664.00000	3664.00000	3664.00000	0.00000	31	3664.00000
Filling Plant	Pack_01	PERIOD_002	126.06897	111.68704	Intermittent	Slow	182.80000	86.40882	1.33333	0.22344	HighlyVariable		0	1	182.80000	3656.00000	3656.00000	3656.00000	0.00000	29	3656.00000
Filling Plant	Pack_01	PERIOD_003	42.25806	83.72493	Intermittent	Slow	145.55556	96.80923	3.33333	0.44236	HighlyVariable		0	1	145.55696	1310.00000	1310.00000	1310.00000	0.00000	31	1310.00000
Filling Plant	Pack_01	PERIOD_004	120.63333	132.19304	Intermittent	Slow	212.88235	103.96086	1.61111	0.23848	HighlyVariable		0	1	212.88235	3619.00000	3619.00000	3619.00000	0.00000	30	3619.00000
Filling Plant	Pack_01	PERIOD_005	12.41935	32.80729	Intermittent	Slow	96.25000	2.21736	6.00000	0.00053	LowVariable		0	1	96.25000	385.00000	385.00000	385.00000	0.00000	31	385.00000
Filling Plant	Pack_01	PERIOD_006											0	1					0.00000	30	
Filling Plant	Pack_01	PERIOD_007											0	1					0.00000	31	
Filling Plant	Pack_01	PERIOD_008											0	1					0.00000	31	
Filling Plant	Pack_01	PERIOD_009	26.66667	86.83450	Intermittent	Slow	266.66667	115.47005	7.25000	0.18750	HighlyVariable		0	1	266.66667	800.00000	800.00000	800.00000	0.00000	30	800.00000
Filling Plant	Pack_01	PERIOD_010	9.70968	54.06120		ExtremelySlow							0	1		301.00000	301.00000	301.00000	0.00000	31	301.00000
